"Data from Irwin, A. W. 1981, ApJS 45:621",,,,,,,,,,,,,,,,,,,,,
,,,,,,ln,16000,=,9.68034400E+000,,,,,,,,,,,,
,,,,I,,,,,,,II,,,,,,,III,,,
Z,a0,a1,a2,a3,a4,a5,ln Q,a0,a1,a2,a3,a4,a5,ln Q,a0,a1,a2,a3,a4,a5,ln Q
1,-2.61655891E+002,1.63428326E+002,-4.06133526E+001,5.03282928E+000,-3.10998364E-001,7.66654594E-003,7.19420668E-001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000
2,-3.76575219E-001,2.33951687E-001,-5.79755525E-002,7.16333160E-003,-4.41302573E-004,1.08442997E-005,2.93217958E-005,6.93147179E-001,9.29636701E-010,-2.30049742E-010,2.83829746E-011,-1.74590774E-012,4.28355529E-014,6.93147180E-001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000
6,9.21720021E+000,-6.57474804E+000,2.04630537E+000,-2.86334470E-001,1.83809654E-002,-4.29672351E-004,2.46973443E+000,-1.85578951E+002,1.16815901E+002,-2.91473937E+001,3.63531100E+000,-2.26513357E-001,5.63890268E-003,1.82927003E+000,-3.91254213E+002,2.45609224E+002,-6.15277245E+001,7.68864516E+000,-4.79276444E-001,1.19227494E-002,7.17315029E-002
7,2.88717295E+002,-1.68872285E+002,3.91254756E+001,-4.45059341E+000,2.47223728E-001,-5.31945494E-003,1.87112181E+000,1.28777940E+002,-7.95497944E+001,1.96686627E+001,-2.39615935E+000,1.43891814E-001,-3.40476068E-003,2.34003850E+000,-8.61956970E+001,5.22049927E+001,-1.25274613E+001,1.51416152E+000,-9.19393680E-002,2.23943277E-003,1.79218023E+000
8,-6.26219795E+000,5.12651680E+000,-1.44691306E+000,2.23196759E-001,-1.78196943E-002,5.71458469E-004,2.34142592E+000,-1.11049302E+002,7.83028959E+001,-2.16736253E+001,2.98204280E+000,-2.04044209E-001,5.55676601E-003,1.62465674E+000,-1.46432100E+001,6.83107919E+000,-1.24907508E+000,1.41406855E-001,-9.94709007E-003,3.16570356E-004,2.27096875E+000
10,-9.89746326E+000,6.15156332E+000,-1.52510257E+000,1.88526264E-001,-1.16199387E-002,2.85685024E-004,8.02995289E-004,4.24370369E+001,-2.54522643E+001,6.16021294E+000,-7.30334327E-001,4.27298061E-002,-9.91258327E-004,1.76886243E+000,1.61133431E+001,-7.89461982E+000,1.43805082E+000,-8.81795471E-002,-1.09787263E-003,2.04771258E-004,2.22437735E+000
12,-2.36123647E+003,1.53666552E+003,-3.99573894E+002,5.18934127E+001,-3.36616446E+000,8.72505398E-002,2.19804335E+000,-4.34874146E+002,2.76201198E+002,-6.99216802E+001,8.83345154E+000,-5.56915833E-001,1.40181117E-002,8.36508337E-001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000
14,-7.23428869E+002,4.52601901E+002,-1.12918109E+002,1.40785236E+001,-8.77132603E-001,2.18523847E-002,2.75894225E+000,-3.67925366E+002,2.27801749E+002,-5.63139256E+001,6.96970720E+000,-4.31392293E-001,1.06749184E-002,1.83894410E+000,-3.91665625E+002,2.45914248E+002,-6.16164424E+001,7.70134645E+000,-4.80173854E-001,1.19478316E-002,7.28359652E-002
16,-6.30703449E+001,3.53098667E+001,-7.71409969E+000,8.50300702E-001,-4.74936003E-002,1.08607937E-003,2.46306901E+000,9.77516783E+002,-6.06713375E+002,1.50090513E+002,-1.84627161E+001,1.12856222E+000,-2.74016045E-002,1.98862927E+000,2.23914684E+002,-1.47570136E+002,3.81918598E+001,-4.84977487E+000,3.03609041E-001,-7.51308575E-003,2.34818291E+000
18,-1.50860761E+002,9.44834641E+001,-2.36105115E+001,2.94261084E+000,-1.82910244E-001,4.53641770E-003,2.16742408E-002,8.00614439E+001,-4.51603962E+001,1.02073231E+001,-1.13868546E+000,6.29814970E-002,-1.38557483E-003,1.75102197E+000,3.08147365E+002,-1.87717510E+002,4.56112646E+001,-5.50134735E+000,3.29750197E-001,-7.85881328E-003,2.30753160E+000
20,-5.21521085E+002,4.10712446E+002,-1.26375869E+002,1.90976557E+001,-1.42269952E+000,4.19085267E-002,5.15828843E+000,1.65874025E+003,-1.04392185E+003,2.61702809E+002,-3.26369424E+001,2.02350114E+000,-4.98594460E-002,1.75227501E+000,-1.24819814E-003,7.75158073E-004,-1.92014703E-004,2.37150053E-005,-1.46034751E-006,3.58695382E-008,9.35644449E-008
22,-5.42849573E+002,3.46635141E+002,-8.90099156E+001,1.15603978E+001,-7.60309452E-001,2.02863075E-002,6.41758035E+000,7.41156498E+000,-1.62989642E+001,6.88299761E+000,-1.14483565E+000,8.56663842E-002,-2.39509300E-003,4.78008695E+000,1.90433458E+002,-1.27981973E+002,3.41092889E+001,-4.46260237E+000,2.87468135E-001,-7.30136017E-003,3.38988905E+000
24,-8.80838409E+002,5.72933536E+002,-1.49289839E+002,1.95455757E+001,-1.28737652E+000,3.41709398E-002,5.85048272E+000,3.32026608E+003,-2.07680692E+003,5.17436644E+002,-6.41213593E+001,3.94957079E+000,-9.66571288E-002,3.96746702E+000,8.99434106E+002,-5.56554851E+002,1.36799645E+002,-1.66493892E+001,1.00343273E+000,-2.39467456E-002,3.79306887E+000
26,-1.15609527E+003,7.46597652E+002,-1.92865672E+002,2.49658410E+001,-1.61934455E+000,4.21182087E-002,5.62138956E+000,2.71692895E+002,-1.52697440E+002,3.36119665E+001,-3.56415427E+000,1.80193259E-001,-3.38654879E-003,4.56955380E+000,5.42788652E+002,-3.26170152E+002,7.77054463E+001,-9.12244699E+000,5.27184053E-001,-1.19689432E-002,3.71965727E+000
27,-1.27572458E+003,8.34945002E+002,-2.17863543E+002,2.83665679E+001,-1.84229266E+000,4.77591938E-002,5.34797493E+000,-4.17417685E+002,2.76839269E+002,-7.24430563E+001,9.38616516E+000,-6.01647637E-001,1.52809452E-002,4.12250126E+000,1.94602744E+002,-1.15107876E+002,2.69761183E+001,-3.09225061E+000,1.73365887E-001,-3.78711620E-003,3.59620667E+000
28,-1.02017263E+003,6.68758438E+002,-1.74841425E+002,2.28263930E+001,-1.48693754E+000,3.86538338E-002,4.52043969E+000,-2.01279351E+002,1.01910058E+002,-1.92092108E+001,1.62959379E+000,-5.55991468E-002,3.32146945E-004,3.42816089E+000,1.13021988E+002,-6.17971942E+001,1.33706056E+001,-1.40047265E+000,7.08696964E-002,-1.37157842E-003,3.07242983E+000
